category,dislikes,image_url,likes,page_number,scraped_at,tags,timestamp,title,url,views
Siyasət,14,https://images.oxu.az/2025/11/27/loa7k2xdG4oB1Q7Ois1k4194apokQ43YH8WyAIWD:600.jpg,258,14,2025-11-28T10:03:39.863156,Yenilənib,2025-11-27 13:55:00,"Köç karvanı Horovlu kəndinə çatıb, açarlar təqdim edilib",https://oxu.az/siyaset/cebrayil-rayonunun-horovlu-kendine-novbeti-koc-karvani-yola-salinir,2054
Dünya,2,https://images.oxu.az/2025/11/27/EbnGnTgeS1ILy3DhS0QBLD5rx5zEjAYddYfoFvS0:600.webp,56,14,2025-11-28T10:03:39.863156,,2025-11-27 13:54:00,Məhkəmə Banqladeşin sabiq baş nazirinə sərt hökm oxudu,https://oxu.az/dunya/mehkeme-banqladesin-sabiq-bas-nazirine-sert-hokm-oxudu,1307
İdman,12,https://images.oxu.az/2025/11/27/0XQx3Hbhg9n2rMKKPGHjVIFHXnAITFT1AP09Kh4b:600.jpg,130,14,2025-11-28T10:03:39.863156,,2025-11-27 13:50:00,"""Qarabağ""ın pley-off mərhələsinə yüksəlmək şansı neçə faizdir?",https://oxu.az/idman/qarabag-in-pley-off-merhelesine-yukselmek-sansi-nece-faizdir,5928
Dünya,4,https://images.oxu.az/2025/11/27/vER8DHmex4Ji3iDjMgVxTsZBkiPBH9mbKhPGFQGQ:600.webp,192,14,2025-11-28T10:03:39.863156,,2025-11-27 13:46:00,Üç erməni Krım körpüsündə terror aktına görə ömürlük həbs olundu,https://oxu.az/dunya/uc-ermeni-krim-korpusunde-terror-aktina-gore-omurluk-hebs-olundu,1112
Turizm,2,https://images.oxu.az/2025/11/27/UoKDpcvhCwvDBYlzIpnmjmMuXu5pSQRXJaTCKOAA:600.jpg,47,14,2025-11-28T10:03:39.863156,,2025-11-27 13:42:00,Azərbaycan Əmmana müntəzəm aviareyslərin təşkili imkanlarını nəzərdən keçirir,https://oxu.az/turizm/azerbaycan-emmana-muntezem-aviareyslerin-teskili-imkanlarini-nezerden-kecirir,307
Dünya,19,https://images.oxu.az/2025/11/27/mMwMhgqdfZ6e5lXRsjeob2qWnrix91WChiNskOwc:600.jpg,46,14,2025-11-28T10:03:39.863156,,2025-11-27 13:38:00,Qvineya-Bisauda hərbi çevrilişdən sonra bəzi sosial şəbəkələrə giriş məhdudlaşdırıldı,https://oxu.az/dunya/qvineya-bisauda-herbi-cevrilisden-sonra-bezi-sosial-sebekelere-giris-mehdudlasdirildi,722
İqtisadiyyat,34,https://images.oxu.az/2023/05/20/20/32/56/98cbdf21-b01d-4971-8ee2-f320aef94073/aqrar:600.jpg,10,14,2025-11-28T10:03:39.863156,,2025-11-27 13:34:00,20 milyon manat aqrar sığorta ödənişi edilib,https://oxu.az/iqtisadiyyat/20-milyon-manat-aqrar-sigorta-odenisi-edilib,213
Kriminal,38,https://images.oxu.az/2025/11/27/HasffK2r93AHBbakhHlryVE81MK5oV0mdANTFMu5:600.webp,2,14,2025-11-28T10:03:39.863156,,2025-11-27 13:30:00,Həbsdə olan müğənni Dəniz Əsədova sabiq baş həkimlə bağlı ifadəsini dəyişib,https://oxu.az/kriminal/hebsde-olan-mugenni-deniz-esedova-sabiq-bas-hekimle-bagli-ifadesini-deyisib,1140
Dünya,131,https://images.oxu.az/2025/11/27/4iBQYQNXvhtehm4XzUWB8H9HkXQuaRrf4J48qVLH:600.webp,41,14,2025-11-28T10:03:39.863156,Foto,2025-11-27 13:22:00,İranda bir gündə 15 məhbus edam edilib,https://oxu.az/dunya/iranda-bir-gunde-15-mehbus-edam-edilib,664
Dünya,78,https://images.oxu.az/2025/11/27/A6ySo2rueFoACfjAKTYH6UbHtfMqxQXxIS2kL4YP:600.webp,1,15,2025-11-28T10:03:39.958765,,2025-11-27 14:06:00,"Ərzurumda qaz partlayışı: İki ev çökdü, bir nəfər xəsarət aldı",https://oxu.az/dunya/erzurumda-qaz-partlayisi-iki-ev-cokdu-bir-nefer-xesaret-aldi,208
